wiki,rev_id
en,1074058348
en,1074084202
en,1074085339
en,1074088592
en,1074093333
en,1074093934
en,1074094464
en,1074118873
en,1073954298
en,1073951198
en,1073862863
en,1073864746
en,1073866731
en,1073868350
en,1073905240
en,1073906101
en,1073906430
en,1073906603
en,1073936064
en,1073937476
en,1073938179
en,1073943287
en,1073944338
en,1073945570
en,1073949832
en,1069163181
en,1074126835
en,1074385350
en,1074385567
en,1074392796
en,1074402402
en,1074403564
en,1074405543
en,1074407208
en,1074429397
en,1074431422
en,1074440982
en,1074470143
en,1074470620
en,1074472020
en,1074484715
en,1074493044
en,1074378923
en,1074379035
en,1074140177
en,1074230974
en,1074250749
en,1074260230
en,1074268845
en,1074275674
en,1074278244
en,1074278575
en,1074279310
en,1074312270
en,1074341526
en,1074353025
en,1074362709
en,1074370884
en,1074376771
en,1074497146
en,1073829575
en,1073405259
en,1073488640
en,1073501256
en,1073503663
en,1073511209
en,1073511783
en,1073522260
en,1073525075
en,1073534533
en,1073537700
en,1073555353
en,1073556495
en,1073558096
en,1073558743
en,1073559209
en,1073559536
en,1073484565
en,1073474357
en,1073405766
en,1073409471
en,1073414791
en,1073415565
en,1073416169
en,1073417768
en,1073418914
en,1073419357
en,1073421584
en,1073426925
en,1073427388
en,1073427612
en,1073427788
en,1073428410
en,1073441345
en,1073591972
en,1073595253
en,1073701869
en,1073709650
en,1073740635
en,1073749066
en,1073760276
en,1073778564
en,1073778746
en,1073779191
en,1073779502
en,1073779891
en,1073786185
en,1073800834
en,1073813206
en,1073820547
en,1073824373
en,1073699991
en,1073695710
en,1073596001
en,1073600349
en,1073631310
en,1073632652
en,1073639121
en,1073653821
en,1073654387
en,1073654825
en,1073659231
en,1073659124
en,1073659927
en,1073661928
en,1073686582
en,1073688175
en,1073693632
en,1073825890
en,1069781762
en,1069900016
en,1069901476
en,1069906321
en,1069916492
en,1069920542
en,1069930076
en,1069933056
en,1069938626
en,1069943321
en,1069947185
en,1069947234
en,1069956038
en,1069960443
en,1069978426
en,1069981345
en,1069890451
en,1069889548
en,1069820382
en,1069843909
en,1069845400
en,1069847040
en,1069849386
en,1069852208
en,1069854652
en,1069856669
en,1069867383
en,1069869233
en,1069874136
en,1069874546
en,1069880118
en,1069884735
en,1069888214
en,1069995071
en,1070000036
en,1070182424
en,1070200385
en,1070202013
en,1070230824
en,1070246921
en,1070248529
en,1070259658
en,1070264089
en,1070328804
en,1070329770
en,1070352650
en,1070354517
en,1070356835
en,1070361901
en,1070363803
en,1070180913
en,1070171124
en,1070004284
en,1070033013
en,1070034203
en,1070035434
en,1070039700
en,1070040835
en,1070048254
en,1070086348
en,1070134053
en,1070149070
en,1070151815
en,1070162556
en,1070164195
en,1070165837
en,1070169344
en,1070365336
en,1069760279
en,1069163484
en,1069319730
en,1069322590
